Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.05            0.99             0.00              0.00             1.04               238418.30
0.05            1.07             0.00              0.00             1.12               238419.42
0.06            1.43             0.00              0.00             1.49               238420.91
0.18            3.00             0.00              0.00             3.18               238424.09
0.84            0.98             0.00              0.00             1.82               238425.91
0.05            1.02             0.00              0.00             1.07               238426.98
0.05            0.84             0.00              0.00             0.89               238427.87
0.05            1.03             0.00              0.00             1.08               238428.95
0.05            0.96             0.00              0.00             1.01               238429.96
0.06            1.09             0.00              0.00             1.15               238431.11
0.05            0.95             0.00              0.00             1.00               238432.11
0.19            0.91             0.00              0.00             1.10               238433.21
0.19            0.92             0.00              0.00             1.11               238434.32
0.18            0.87             0.00              0.00             1.05               238435.37
0.18            2.54             0.00              0.00             2.72               238438.09
0.46            0.92             0.00              0.00             1.38               238439.47
0.07            0.99             0.00              0.00             1.06               238440.53
0.05            0.88             0.00              0.00             0.93               238441.46
0.05            1.17             0.00              0.00             1.22               238442.68
0.19            0.95             0.00              0.00             1.14               238443.82
0.20            2.99             0.00              0.00             3.19               238447.01
0.76            0.93             0.00              0.00             1.69               238448.70
0.05            1.15             0.00              0.00             1.20               238449.90
0.05            0.85             0.00              0.00             0.90               238450.80
0.05            1.04             0.00              0.00             1.09               238451.89
0.05            1.09             0.00              0.00             1.14               238453.03
0.05            1.03             0.00              0.00             1.08               238454.11
0.19            1.12             0.00              0.00             1.31               238455.42
0.20            1.07             0.00              0.00             1.27               238456.69
0.19            1.18             0.00              0.00             1.37               238458.06
0.21            2.86             0.00              0.00             3.07               238461.13
0.07            0.89             0.00              0.00             0.96               238462.09
0.19            1.05             0.00              0.00             1.24               238463.33
0.19            0.96             0.00              0.00             1.15               238464.48
0.20            1.00             0.00              0.00             1.20               238465.68
0.19            0.92             0.00              0.00             1.11               238466.79
0.20            2.34             0.00              0.00             2.54               238469.33
0.22            0.90             0.00              0.00             1.12               238470.45
0.05            1.15             0.00              0.00             1.20               238471.65
0.22            2.85             0.00              0.00             3.07               238474.72
0.35            1.01             0.00              0.00             1.36               238476.08
0.05            0.98             0.00              0.00             1.03               238477.11
0.05            2.93             0.00              0.00             2.98               238480.09
0.76            0.93             0.00              0.00             1.69               238481.78
0.05            1.07             0.00              0.00             1.12               238482.90
0.05            0.78             0.00              0.00             0.83               238483.73
0.05            0.85             0.00              0.00             0.90               238484.63
0.05            0.98             0.00              0.00             1.03               238485.66
0.05            2.41             0.00              0.00             2.46               238488.12
0.34            3.12             0.00              0.00             3.46               238491.58
0.35            2.31             0.00              0.00             2.66               238494.24
0.35            2.59             0.00              0.00             2.94               238497.18
0.36            2.61             0.00              0.00             2.97               238500.15
0.23            2.56             0.00              0.00             2.79               238502.94
0.21            3.02             0.00              0.00             3.23               238506.17
0.09            0.95             0.00              0.00             1.04               238507.21
0.05            0.86             0.00              0.00             0.91               238508.12
0.08            1.00             0.00              0.00             1.08               238509.20
0.05            0.95             0.00              0.00             1.00               238510.20
0.05            0.78             0.00              0.00             0.83               238511.03
0.06            0.84             0.00              0.00             0.90               238511.93
0.06            1.06             0.00              0.00             1.12               238513.05
0.06            0.89             0.00              0.00             0.95               238514.00
0.07            0.96             0.00              0.00             1.03               238515.03
0.05            1.09             0.00              0.00             1.14               238516.17
0.08            1.38             0.00              0.00             1.46               238517.63
0.34            0.96             0.00              0.00             1.30               238518.93
0.05            1.05             0.00              0.00             1.10               238520.03
0.21            1.28             0.00              0.00             1.49               238521.52
0.20            3.46             0.00              0.00             3.66               238525.18
1.09            1.20             0.00              0.00             2.29               238527.47
0.20            1.20             0.00              0.00             1.40               238528.87
0.19            1.28             0.00              0.00             1.47               238530.34
0.20            2.97             0.00              0.00             3.17               238533.51
0.50            0.99             0.00              0.00             1.49               238535.00
0.05            1.07             0.00              0.00             1.12               238536.12
0.05            1.08             0.00              0.00             1.13               238537.25
0.06            0.82             0.00              0.00             0.88               238538.13
0.05            0.84             0.00              0.00             0.89               238539.02
0.05            0.92             0.00              0.00             0.97               238539.99
0.05            1.42             0.00              0.00             1.47               238541.46
0.05            0.96             0.00              0.00             1.01               238542.47
0.05            0.96             0.00              0.00             1.01               238543.48
0.07            0.89             0.00              0.00             0.96               238544.44
0.19            0.97             0.00              0.00             1.16               238545.60
0.19            0.98             0.00              0.00             1.17               238546.77
0.19            2.93             0.00              0.00             3.12               238549.89
0.82            0.88             0.00              0.00             1.70               238551.59
0.05            0.83             0.00              0.00             0.88               238552.47
0.05            0.84             0.00              0.00             0.89               238553.36
0.05            0.88             0.00              0.00             0.93               238554.29
0.06            0.84             0.00              0.00             0.90               238555.19
0.05            1.11             0.00              0.00             1.16               238556.35
0.22            1.03             0.00              0.00             1.25               238557.60
0.24            1.24             0.00              0.00             1.48               238559.08
0.19            3.46             0.00              0.00             3.65               238562.73
0.86            1.04             0.00              0.00             1.90               238564.63
0.04            1.09             0.00              0.00             1.13               238565.76
0.05            1.03             0.00              0.00             1.08               238566.84
0.05            0.95             0.00              0.00             1.00               238567.84
0.05            1.04             0.00              0.00             1.09               238568.93
0.05            1.06             0.00              0.00             1.11               238570.04
0.19            1.24             0.00              0.00             1.43               238571.47
0.19            1.21             0.00              0.00             1.40               238572.87
0.22            3.62             0.00              0.00             3.84               238576.71
0.86            0.90             0.00              0.00             1.76               238578.47
0.05            0.99             0.00              0.00             1.04               238579.51
0.05            1.05             0.00              0.00             1.10               238580.61
0.05            1.12             0.00              0.00             1.17               238581.78
0.05            1.03             0.00              0.00             1.08               238582.86
0.05            1.21             0.00              0.00             1.26               238584.12
0.22            1.21             0.00              0.00             1.43               238585.55
0.20            3.75             0.00              0.00             3.95               238589.50
1.06            1.03             0.00              0.00             2.09               238591.59
0.05            0.90             0.00              0.00             0.95               238592.54
0.05            1.08             0.00              0.00             1.13               238593.67
0.05            1.10             0.00              0.00             1.15               238594.82
0.05            1.07             0.00              0.00             1.12               238595.94
0.05            0.92             0.00              0.00             0.97               238596.91
0.05            1.16             0.00              0.00             1.21               238598.12
0.20            1.10             0.00              0.00             1.30               238599.42
0.20            1.03             0.00              0.00             1.23               238600.65
0.23            1.18             0.00              0.00             1.41               238602.06
0.22            1.13             0.00              0.00             1.35               238603.41
0.19            3.16             0.00              0.00             3.35               238606.76
0.61            1.02             0.00              0.00             1.63               238608.39
0.05            0.93             0.00              0.00             0.98               238609.37
0.05            1.05             0.00              0.00             1.10               238610.47
0.05            1.03             0.00              0.00             1.08               238611.55
0.19            0.97             0.00              0.00             1.16               238612.71
0.22            2.62             0.00              0.00             2.84               238615.55
0.35            0.82             0.00              0.00             1.17               238616.72
0.05            0.94             0.00              0.00             0.99               238617.71
0.19            2.83             0.00              0.00             3.02               238620.73
0.49            1.04             0.00              0.00             1.53               238622.26
