Policy	A	B
345	8.98	2.66
346	9.07	2.16
347	9.13	3.64
348	9.17	3.45
349	9.29	3.76
350	9.33	2.31
351	9.43	3.18
352	9.45	3.17
353	9.48	3.14
354	9.54	2.45
355	9.67	2.55
356	9.71	1.39
357	9.75	2.41
358	9.84	2.46
359	10.00	0.99
360	10.06	1.51
361	10.16	1.38
362	10.38	1.04
363	10.44	0.80
364	10.76	0.78
365	10.97	3.62
366	11.03	3.21
367	11.05	3.29
368	11.23	1.63
369	11.27	3.58
370	11.31	4.12
371	11.32	2.85
372	11.35	4.69
373	11.52	2.84
374	11.54	1.18
375	11.58	3.24
376	11.63	2.44
377	11.71	1.00
378	11.72	1.16
379	11.74	0.83
380	11.75	0.94
381	11.79	1.19
382	11.79	0.94
383	11.80	3.41
384	11.86	1.11
385	11.93	0.96
386	11.96	1.00
387	12.04	2.03
388	12.13	1.13
389	12.69	0.99
390	12.80	1.02
391	12.95	5.95
392	13.01	0.95
393	13.11	1.12
394	13.42	1.88
395	14.29	3.78
396	14.94	1.07
397	15.10	1.40
398	15.85	1.75
399	16.14	1.03
400	16.18	1.99
401	16.36	1.41
402	19.23	1.26
403	20.79	1.17
404	20.87	1.46
405	22.06	0.56
406	22.14	0.82
407	22.41	0.60
408	23.16	1.32
409	27.62	0.74
410	27.97	2.95
411	28.06	0.84
412	30.17	0.66
413	30.29	0.88
414	30.85	0.55
415	31.03	0.68
416	31.05	0.77
417	31.51	0.75
418	31.91	0.77
419	32.10	0.74
420	32.47	0.66
421	32.94	0.84
422	32.97	1.07
423	33.04	0.65
424	33.15	0.65
425	33.56	0.69
426	34.39	0.72
427	35.01	1.25
428	37.09	0.96
429	37.16	0.81
430	39.04	0.85
431	41.60	2.83
432	41.69	1.12
433	44.14	0.83
434	44.75	1.01
435	48.35	1.13
436	50.23	0.75
437	51.35	0.67
438	52.01	0.70
439	53.05	0.80
440	53.18	0.64
441	53.20	0.64
442	53.22	1.10
443	53.51	1.00
444	54.21	0.73
445	54.66	11.30
446	54.89	0.72
447	54.97	0.87
448	54.97	0.85
449	55.15	1.07
450	55.45	0.70
451	55.46	0.72
452	55.64	0.71
453	55.74	0.75
454	55.94	0.79
455	56.19	0.77
456	56.26	1.00
457	56.37	0.59
458	56.39	0.78
459	56.68	0.84
460	56.74	0.90
461	56.80	0.84
462	56.86	0.61
463	56.88	0.74
464	57.05	0.75
465	57.08	0.74
466	57.19	1.53
467	57.55	0.92
468	57.58	0.65
469	57.78	0.96
470	57.96	0.81
471	58.07	0.72
472	58.79	0.83
473	58.92	0.96
474	59.13	7.65
475	60.16	0.93
476	62.66	4.19
477	66.89	0.73
478	68.30	0.85
479	69.67	0.88
480	70.36	1.16
481	70.45	0.74
482	71.02	0.75
483	71.25	0.88
484	71.82	1.25
485	72.06	0.80
486	72.41	0.99
487	73.34	0.76
488	73.39	0.97
