NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	10	10	36	2.50	1.52	0.80	0.18	0.00
1	12	12	20	2.00	1.36	0.44	0.20	0.00
1	12	12	20	1.94	1.31	0.43	0.20	0.00
1	36	36	104	3.66	0.84	2.33	0.49	0.00
1	45	45	128	4.39	1.00	2.82	0.57	0.00
3	48	48	136	5.51	1.13	3.50	0.87	0.00
2	8	8	20	1.69	0.88	0.63	0.18	0.00
2	8	8	20	1.71	0.88	0.64	0.19	0.00
2	18	18	53	2.68	1.15	1.24	0.30	0.00
1	10	10	36	7.99	7.02	0.78	0.19	0.00
1	12	12	20	1.52	0.90	0.43	0.19	0.00
2	8	8	20	2.17	1.33	0.65	0.19	0.00
2	8	8	20	2.30	1.46	0.65	0.19	0.00
1	12	12	20	1.80	1.18	0.44	0.19	0.00
1	21	21	32	2.28	1.35	0.67	0.27	0.00
3	14	14	76	3.85	0.99	2.52	0.34	0.00
2	8	8	20	2.28	1.44	0.65	0.19	0.00
1	0	0	1	5.04	4.89	0.15	0.00	0.00
1	2	2	12	5.05	4.69	0.26	0.11	0.00
2	8	8	20	4.62	3.78	0.65	0.18	0.00
2	4	4	57	3.41	0.87	2.34	0.21	0.00
1	6	6	28	2.96	2.13	0.66	0.16	0.00
2	14	14	32	2.51	1.23	1.02	0.26	0.00
3	13	13	45	2.69	1.14	1.24	0.31	0.00
4	17	17	60	3.37	1.07	1.82	0.47	0.00
2	8	8	20	2.21	1.37	0.66	0.19	0.00
2	8	8	20	2.09	1.25	0.65	0.19	0.00
2	8	8	20	2.12	1.31	0.63	0.18	0.00
1	9	9	32	3.20	2.39	0.65	0.16	0.00
1	9	9	32	3.84	3.04	0.63	0.16	0.00
2	8	8	20	1.94	1.09	0.66	0.19	0.00
2	14	14	32	2.67	1.38	1.02	0.27	0.00
1	9	9	32	2.53	1.73	0.64	0.16	0.00
2	8	8	20	2.12	1.29	0.64	0.19	0.00
1	21	21	32	2.25	1.28	0.68	0.29	0.00
8	12	12	40	3.40	1.99	1.01	0.41	0.00
2	8	8	20	2.16	1.34	0.63	0.19	0.00
1	12	12	20	2.48	1.85	0.44	0.19	0.00
2	8	8	20	2.08	1.25	0.64	0.19	0.00
2	8	8	20	1.80	0.97	0.64	0.19	0.00
2	14	14	32	2.87	1.60	1.01	0.26	0.00
1	12	12	20	3.15	2.51	0.44	0.19	0.00
2	14	14	32	3.29	1.98	1.03	0.27	0.00
1	10	10	36	4.19	3.24	0.77	0.18	0.00
2	8	8	20	2.07	1.27	0.61	0.18	0.00
1	21	21	32	2.13	1.17	0.67	0.28	0.00
4	14	14	88	4.47	0.95	3.10	0.41	0.00
2	14	14	32	2.24	0.95	1.02	0.27	0.00
2	8	8	20	2.39	1.55	0.64	0.19	0.00
2	14	14	32	2.55	1.24	1.04	0.27	0.00
2	14	14	32	2.76	1.46	1.04	0.27	0.00
1	12	12	20	2.24	1.60	0.44	0.20	0.00
2	8	8	20	2.31	1.46	0.66	0.19	0.00
1	2	2	12	1.90	1.55	0.25	0.10	0.00
2	8	8	20	3.14	2.29	0.65	0.20	0.00
1	6	6	48	5.12	3.62	1.33	0.18	0.00
2	8	8	20	2.11	1.26	0.66	0.19	0.00
1	2	2	6	2.31	2.06	0.15	0.10	0.00
1	18	18	56	2.14	0.73	1.15	0.26	0.00
3	14	14	78	4.15	1.18	2.61	0.36	0.00
3	14	14	57	4.44	2.03	2.07	0.34	0.00
2	14	14	32	2.72	1.41	1.04	0.27	0.00
3	16	16	77	3.87	0.82	2.63	0.42	0.00
2	8	8	20	1.64	0.81	0.65	0.18	0.00
